index;,id;,created_at;,text;,company;,sentiment_class
35;,1475255211006560000;,44557,0419560185;,This chart demonstrates why people around the world choose to invest in #sustainableinvestment products and why some don't.   This chart is from the @Schroders Global investor study: The rise of the sustainable investor. Find the chart and more here https://t.co/DQeJcneJTg #ESG https://t.co/K3dYfz7iBF;,Schroders;,Neutral
36;,1476961349133500000;,44561,75;,@digundiv’s latest Ecosystem Report explores how the inclusion of diverse founders must be pursued intentionally in order to ensure equitable opportunities. Learn more and access the report: https://t.co/3qBqbEhtW0 Supported by @UBS @pjtentrepreneur, @Nasdaq, @JPMorgan https://t.co/J7yieUJ61X;,JP Morgan Chase;,Neutral
37;,1476656960351080000;,44560,9100462963;,@jamonunn @jpmorgan @compass_mining Risk Mitigation Dept. is scared 🙌🏼;,JP Morgan Chase;,Negative
38;,1476600756278990000;,44560,7549537037;,@KitcoNewsNOW I’m wondering how a great Indian economy &amp; wedding season will impact gold demand versus whether we see more @jpmorgan precious metal @CFTC trading convictions next year. #Gold;,JP Morgan Chase;,Neutral
41;,1475477246060110000;,44557,6546643519;,@JohnStark @gregggonsalves @WHCOS @carlquintanilla @jpmorgan The public has consistently supported additional mitigation and prioritizing public health https://t.co/G74KfSw1Cr;,JP Morgan Chase;,Positive
46;,1475092455406060000;,44556,5928356481;,@oncyber_io @RTFKTstudios @_JohnWhelan @Meta @TheBlock__ @jpmorgan Environment 2: Can our “real” be frugal while our avatar splurges? Or will de always need @adidasoriginals or @Nike to send to our home address the “real merch” for us to use. What would the ratio be 1/1 or 1 real for 10 virtual?;,JP Morgan Chase;,Neutral
47;,1475092026492430000;,44556,5916550926;,@oncyber_io @RTFKTstudios @_JohnWhelan @Meta @TheBlock__ @jpmorgan Environment: Will we shift the waste of the world into the metaverse, where our avatars will have walk in closets filled with fast fashion while our human feet are satisfied with one pair? Will the #metaverse save the planet? Of curving plastic / polyester pollution? 1/4;,JP Morgan Chase;,Neutral
48;,1475044620266520000;,44556,4608449074;,@jpmorgan Frodo Tech (FRDX) is a financial blockchain ecosystem. We provide our customers with financial services globally without any limitation of race or region.  To find more information please visit Frodo Tech website: 👇👇👇 https://t.co/axOW9Hd0xN;,JP Morgan Chase;,Neutral
49;,1475808391683580000;,44558,5684490741;,Do you know of a small business or entrepreneur ready to build a legacy in the circular economy?​ Direct them to https://t.co/Rd8BPFyIbE. Now is the time to build profitable and lasting green businesses that are good for the world. @jpmorgan @FinEmbPretoria​@BasilsBusiness https://t.co/A9m3wvlGRi;,JP Morgan Chase;,Positive
50;,1475759063778610000;,44558,4323263889;,#DYK? Less than 10% of all waste cycles back into the economy. With the #circulareconomy, we can reduce the amount of waste ending up in dumps. With the right support, circular economy entrepreneurs hold the key to turn our tragedy into triumph&gt;&gt; https://t.co/VT3231K1w7 @jpmorgan https://t.co/ugtSU29Pzh;,JP Morgan Chase;,Positive
51;,1475603030594710000;,44558,0017592593;,@tech5960 @DaisyBe59798028 @jpmorgan @ewarren I never knew the major banks like Chase contributes so much Co2 into our atmosphere.  ""Warren Urges Crackdown on Wall Street Over Climate Change"" here: https://t.co/1GiLgSbPTp  To read it on the web, tap here: https://t.co/K0BakuIgUR;,JP Morgan Chase;,Neutral
52;,1475563128721230000;,44557,8916550925;,@NathanG16894548 @jpmorgan The problem is amc hasnt gone back to the levels it was before the market was dropping while others are making new ath or are back to break even before the dip. There's still amc bears in the green who may have took a short position on the break down of the pennant;,JP Morgan Chase;,Neutral
53;,1475549901417330000;,44557,855150463;,@NathanG16894548 @jpmorgan If they think just because they said none thing and did another that we are leaving tell them to come to the desert I got this sick water front property I’m sure they will love;,JP Morgan Chase;,Positive
54;,1476772395985760000;,44561,228587963;,@jamonunn @jpmorgan @compass_mining Chase will ESG themselves out of relevance sooner than we all think;,JP Morgan Chase;,Negative
55;,1476134656030430000;,44559,4687615741;,Jamie Dimon of @jpmorgan said they are “dedicated to addressing climate and sustainability around the world.”  Yet they made 40% more in fees by  helping out fossil-fuel companies than they did from their green bond sales. #greenwashing  #climatechange #fossilfuels #capitalatrisk https://t.co/5LMuYKX0UX;,JP Morgan Chase;,Negative
56;,1476069737557860000;,44559,2896296296;,#Sustainability trends may rise and fall but #ESG investing is here to stay!  Insightful article by Tara Smyth, regional head for the Middle East, North Africa, &amp; Turkey at @jpmorgan on #ESG investing as featured in The National News. Read:  https://t.co/vAC0WdsH8s;,JP Morgan Chase;,Positive
57;,1476946255079220000;,44561,7083564815;,Last month, ESGi hosted a roundtable discussing the impact of #COP26. Insights from @abrdnInv_UK, @JPMorganAM, @WWF, @ManGroup, @Persefoni_CMAP and @UKSIF here: https://t.co/BeCgXudjuB;,JP Morgan Chase;,Neutral
58;,1475496699044920000;,44557,7083449074;,Last month, ESGi hosted a roundtable discussing the impact of #COP26. Insights from @abrdnInv_UK, @JPMorganAM, @WWF, @ManGroup, @Persefoni_CMAP and @UKSIF here: https://t.co/BeCgXtVI61;,JP Morgan Chase;,Neutral
59;,1475522982655110000;,44557,7808680556;,@Revkin @JPMorganAM @Skapnick JP Morgan Chase:  helping finance climate catastrophes for 100 years.;,JP Morgan Chase;,Negative
60;,1475300897148180000;,44557,1680324074;,Career paths in climate science are rapidly widening, now including @JPMorganAM. Learned while seeking experts on California's whiplash snowpack: https://t.co/zdTP3HpzU6. Found Kapnick/Hall 2010: https://t.co/jZFUo2hQiw @Skapnick now: https://t.co/X2xDeOK74f https://t.co/aOesi280V8;,JP Morgan Chase;,Neutral
61;,1476724058234530000;,44561,0952083333;,With a $2tn+ market value and 200mn+ users, the digital asset universe is too large to ignore…the digital asset ecosystem is so much more. #NFTs #ValiirTech  @BankofAmerica  https://t.co/nG3T9H9nKl;,Bank of America;,Negative
62;,1476472841939920000;,44560,4019791667;,@Jonathanstewar1 @BankofAmerica @RoadtoHire Stop promoting the greediest of crooks. @BankofAmerica is one of the worst! The #ClimateCrisis will disproportionately impact these BIPOC communities. https://t.co/FqGyv0etnH;,Bank of America;,Negative
63;,1475860631605580000;,44558,7126041667;,Teachers make a significant impact as role models for children. This grant from @BankofAmerica supports @BlackMenTeach as it expands its efforts to improve the educational outcomes of students of color in #Minnesota. https://t.co/jFJn7CXbiF https://t.co/ZzQnMFy1Wr;,Bank of America;,Positive
64;,1475611094756510000;,44558,0240162037;,@BofA_Help @rvengosh @BankofAmerica  are you sorry about being one of the biggest funder of the #ClimateCrisis? No, just like you're not really sorry about the wait time. https://t.co/GjiPasklGo;,Bank of America;,Negative
65;,1475258128518330000;,44557,0500115741;,Our friends at @BankofAmerica are now accepting applications for their Student Leaders summer internship program. You must be a current high school junior and senior and apply by 1/28. https://t.co/Q2mk5rxm7H https://t.co/GgwoE6vat3;,Bank of America;,Positive
66;,1474486803545540000;,44554,9215625;,Teachers make a significant impact as role models for children. This grant from @BankofAmerica supports @BlackMenTeach as it expands its efforts to improve the educational outcomes of students of color in #Minnesota. https://t.co/G8yI8f1uWk https://t.co/kBPQVjlKBw;,Bank of America;,Positive
67;,1476721218745030000;,44561,0873726852;,It’s always something with @BankofAmerica, ain’t no way I’m about to finish my lunch (salad, grilled lemon pepper chicken, brown rice, steamed broccoli, and a green tea) and still on hold……a credit union is sounding real nice right about now.;,Bank of America;,Negative
68;,1476715973734400000;,44561,0728935185;,@BankofAmerica fix the roof over your Puerta Real, Mission Viejo, CA ATMs. Water leaks through onto checks as you try to deposit. On top of all of your cuts to in person service, this is ridiculous.;,Bank of America;,Negative
69;,1476513580539430000;,44560,5143981481;,@BankofAmerica HAPPY NEW YEAR'S EVE IN ADVANCE I WAS JUST WONDERING DO MY IDEAS CAN MAKE MONEY HERE'S A PICTURE OF MY IDEA OF THE ART OF THE FUTURE FOR GLOBAL WARMING WITH SOLAR ENERGY AND A WATER WELL AND WE CAN MAKE LOTS OF MONEY FOR THE PEOPLE it's a dome house. https://t.co/0LSFMTZCh4;,Bank of America;,Neutral
70;,1476111997418750000;,44559,4062384259;,Congrats to our friends at @tampabaywave for receiving a $200K Neighborhood Builders' grant from @BankofAmerica! This 2-year grant will support programming expansions for building a diverse #tech ecosystem! #InnovationLivesHere #InclusionLivesHere https://t.co/mcvJPL5mDN;,Bank of America;,Positive
71;,1475957318684600000;,44558,9794097222;,@Jonathanstewar1 @BankofAmerica @RoadtoHire damn, i thought this was draymond green the whole time;,Bank of America;,Neutral
72;,1475931849813750000;,44558,9091319444;,.@BankofAmerica I'm a consumer in California. The climate crisis is here, and the green economy is the solution. Please stop lending to Big Polluters and go all-in on renewable energy, clean technology, and other planet-saving projects!;,Bank of America;,Positive
73;,1475652861115700000;,44558,1392708333;,We’re getting a bit of winter this week with Captain America: The Winter Soldier! Don’t miss the feature at @BankofAmerica’s Screen on the Green, Thursday, December 30, at 7pm! https://t.co/MhxoAnVtqa;,Bank of America;,Positive
74;,1475242601368280000;,44557,0071643519;,.@BankofAmerica Please include in your 2030 climate targets a clear commitment to end the support of any company or project that is engaged in the expansion of the fossil fuel industry. Please do your part  to keep global warming below 1.5°C and save the earth.;,Bank of America;,Neutral
75;,1475095362394280000;,44556,6008564815;,.@BankofAmerica I'm a consumer in Louisiana. The climate crisis is here, and the green economy is the solution. Please stop lending to Big Polluters and go all-in on renewable energy, clean technology, and other planet-saving projects!;,Bank of America;,Positive
76;,1476282231840810000;,44559,8759953704;,#Philanthropy news: @BankofAmerica awards $4.7 million for #NativeAmerican communities. The grants include $3.3 million to 39 nonprofits and institutions providing critical services. Read more: https://t.co/scQAZMzaSG via @pndblog;,Bank of America;,Neutral
77;,1475451512814020000;,44557,5836458333;,“We can’t forget about nature!” 🌳🌳  🗣️ @xkarenfang, Managing Director at @BankofAmerica, is sounding off on balancing the environmental transition to Net Zero.   Watch the full #DFNYC recap: https://t.co/ZtwMtyLltg https://t.co/fgvFWgD2WC;,Bank of America;,Neutral
78;,1475274197534340000;,44557,0943518519;,@Jonathanstewar1 @BankofAmerica @RoadtoHire There are other “career paths” other than building our digital prison that create more money for the 1%. Research Pay for Play, Social Impact Investing, Human Capital Finance. https://t.co/RcWRf4RLpZ &amp; https://t.co/1QMvO8PPZX This is Freedom vs Tyranny for all of us.;,Bank of America;,Negative
79;,1474713081670470000;,44555,5459722222;,@BankofAmerica @dallascollegetx Likely y’all are just complicit in the disillusionment of our citizenry for nefarious reasons but may certainly embody these values through mental defect. Human nature is invariable.;,Bank of America;,Negative
80;,1475865887173490000;,44558,7271064815;,Through your support, Hire Heroes USA empowers thousands of veterans and military spouses to secure meaningful employment each year. Donate before the end of the year and your gift will be matched by @WellsFargo to double the impact.   Give: https://t.co/J9rKXHJfEp https://t.co/5adeyoekii;,Wells Fargo;,Positive
81;,1475847110222350000;,44558,6752893518;,@subject_C137 @OChugsplash @WellsFargo @CitizensBank @Citibank @BankofAmerica Wait so  Poor people are basically shellfish in the money ecosystem   They get what trickles down to ‘em, then they filter it, and send it right back up the chain;,Wells Fargo;,Negative
82;,1476215438216500000;,44559,6916782407;,Register now for Launch 2022 presented by @WellsFargo to hear from economist Ted Abernathy. Ted will discuss regional growth &amp; share comparisons of peer metros. Register here: https://t.co/eE24MAo8sX @tedabernathy #RCLaunch2022 #Growth #Development #Economy https://t.co/kU7MXGVgox;,Wells Fargo;,Neutral
83;,1476904229486960000;,44561,5923842593;,Climate Action:  Take your💰out of big banks who support fossil fuels.  Put your💰in a local bank/Credit Union.  Big banks to drop:  ⁦@WellsFargo⁩ ⁦@BankofAmerica⁩ ⁦@Citibank⁩ ⁦@Chase⁩  Get involved with:  Bug the Banks - Third Act https://t.co/VHJNusvDdP;,Wells Fargo;,Neutral
85;,1476673350965540000;,44560,9552777778;,Your country on Climate Emergency.   @DougCOGOP #marshallfire @WellsFargo @Sen_JoeManchin @exxonmobil @WSJ #NYE #FJBiden https://t.co/FioRSXMXEt;,Wells Fargo;,Negative
86;,1476516635599120000;,44560,5228240741;,@WellsFargo in Crip camp, when they were felt they were in being bullied by a bunch of walkers they sat in wheelchairs in a room without food water to prove their point little sleep. But here I am picking a Twitter war with you. That you'll ignore just like your emails run and;,Wells Fargo;,Negative
87;,1476261049925970000;,44559,8175462963;,@WellsFargo #divest Wells Fargo funds climate change.;,Wells Fargo;,Negative
88;,1475988698927810000;,44559,0660069444;,Bank with @Chase, @Citibank, @WellsFargo, or @BankofAmerica &amp; want to do something about their funding of corporations destroying our climate?   Here's how:   https://t.co/lgc3Juk38m;,Wells Fargo;,Negative
89;,1475931944370140000;,44558,9093865741;,.@WellsFargo I'm a consumer in California. The climate crisis is here, and the green economy is the solution. Please stop lending to Big Polluters and go all-in on renewable energy, clean technology, and other planet-saving projects!;,Wells Fargo;,Positive
90;,1475909166459930000;,44558,8465393518;,.@WellsFargo Please include in your 2030 climate targets a clear commitment to end the support of any company or project that is engaged in the expansion of the fossil fuel industry. Please do your part  to keep global warming below 1.5°C and save the earth.;,Wells Fargo;,Neutral
91;,1475480679408410000;,44557,6641319444;,Bank with @Chase, @Citibank, @WellsFargo, or @BankofAmerica &amp; want to do something about their funding of corporations destroying our climate?   Here's how:   https://t.co/ygXHNQ4AEC;,Wells Fargo;,Neutral
92;,1475302348629190000;,44557,172037037;,@Chase, @WellsFargo, @BankofAmerica, and @Citibank customers! Are you tired of your money being used to invest in the destruction of our plant?   Join me in signing-on to this letter to your bank CEO to demand that your bank stops funding climate chaos: https://t.co/ubWaeRnzR0;,Wells Fargo;,Negative
93;,1475287374041020000;,44557,1307175926;,Bank with @Chase, @Citibank, @WellsFargo, or @BankofAmerica &amp; want to do something about their funding of corporations destroying our climate?   Here's how:   https://t.co/z1UGdBeOgZ;,Wells Fargo;,Negative
94;,1475180084336250000;,44556,8346527778;,Bank with @Chase, @Citibank, @WellsFargo, or @BankofAmerica &amp; want to do something about their funding of corporations destroying our climate?   Here's how:   https://t.co/QEtuLtbrwH;,Wells Fargo;,Negative
95;,1475095430383950000;,44556,6010532407;,.@WellsFargo I'm a consumer in Louisiana. The climate crisis is here, and the green economy is the solution. Please stop lending to Big Polluters and go all-in on renewable energy, clean technology, and other planet-saving projects!;,Wells Fargo;,Positive
96;,1474865622064550000;,44555,9668981481;,Bank with @Chase, @Citibank, @WellsFargo, or @BankofAmerica &amp; want to do something about their funding of corporations destroying our climate?   Here's how:   https://t.co/dQccSNGsK2;,Wells Fargo;,Negative
97;,1475044219999900000;,44556,4597337963;,@Citi Frodo Tech (FRDX) is a financial blockchain ecosystem. We provide our customers with financial services globally without any limitation of race or region.  To find more information please visit Frodo Tech website: 👇👇👇 https://t.co/axOW9Hd0xN;,Citigroup;,Neutral
98;,1475043898334540000;,44556,4588541667;,@Citi @BusinessInsider Frodo Tech (FRDX) is a financial blockchain ecosystem. We provide our customers with financial services globally without any limitation of race or region.  To find more information please visit Frodo Tech website: 👇👇👇 https://t.co/axOW9Hd0xN;,Citigroup;,Neutral
99;,1476823148209310000;,2021-12-31 07:50:51+00:00;,@mvankerkhove Still in pathology. @WHO @ICRC @UNHumanRights @NYCHealthSystem @NHSEnglandLDN @HKObservatory @NIH @NIHprevents @Citi @SoftBank @MSF @DiscoveryIncTV @pajhwok @cnni @DrTedros @drsanjaygupta @ScienceMagazine @Nature;,Citigroup;,Neutral
100;,1476598792380160000;,2021-12-30 16:59:20+00:00;,In 2021, thanks to @ukinalgeria  &amp; @Citi Foundation, we trained 474 #youth in Algeria in digital, employability, soft, technical &amp; entrepreneurship skills. We piloted trainings in green sectors like waste management, building rehabilitation, aquaculture &amp; solar energy @EFE_Global https://t.co/IWEiBcJ9ke;,Citigroup;,Positive
101;,1476214543990890000;,2021-12-29 15:32:28+00:00;,#ESG Investing, Financial Markets, and Climate Transition, new comment to @FinRegAlert from @Citi  https://t.co/hIeaQJ5SND https://t.co/SmQbXepCud;,Citigroup;,Neutral
102;,1475981896001720000;,2021-12-29 00:08:01+00:00;,Did you know that @Chase, @BankofAmerica, @WellsFargo &amp; @Citi are among the biggest funders of 🚫fossil fuel projects🚨 in the world?  Would you rather use your money to FIGHT climate change?  100% of funds go towards climate positive projects w/Atmos! https://t.co/3TtmMis3GO;,Citigroup;,Negative
103;,1475934975421810000;,2021-12-28 21:01:34+00:00;,looking for this bank to be more SOCIALLY &amp; ENVIRONMENTALLY RESPONSIBLE by investing billions of dollars in renewable energy projects around the world  @Citi. . . . . . . . . . . .;,Citigroup;,Negative
119;,1475922045514960000;,2021-12-28 20:10:11+00:00;,do something good for the world today and completely divest from fossil fuels. funnel the money into renewable energy projects @Citi;,Citigroup;,Positive
120;,1475680508382260000;,2021-12-28 04:10:24+00:00;,NYC has a huge climate pollution footprint. It’s bigger than most countries. But the Wall Street banks headquartered in NYC? They are MUCH much larger polluters. We have to get @Citi @jpmorgan under control. #StopTheMoneyPipeline  cc: @bradlander https://t.co/azxKdxvyMQ;,Citigroup;,Negative
122;,1475481669855540000;,2021-12-27 15:00:17+00:00;,USADF and @Citi grantee @vicfoldrecycler not only promotes environmental sustainability, but also empowers unemployed women &amp; youth in Nigeria! With a grant to purchase 2 bailers, its recycling programs have increased revenue by 30% while contributing to a reduction in pollution. https://t.co/Z4OkGZJVdf;,Citigroup;,Positive
